━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-22 02:55:09 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 02:55:14 | INFO    | Alerts     | 🔴 Security Alert — High Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 02:55:14 AM
📍 Location: Restricted Area
📊 Risk Score: 100 / 100
━━━━━━━━━━━━━━━━━━━━
👁 What is happening:
  • Person is entered a restricted area
━━━━━━━━━━━━━━━━━━━━
SmartGuard 🛡
2026-08-22 03:20:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:20:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:20:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:20:21 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 03:21:47 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:21:47 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:21:47 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:21:47 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 03:30:26 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:30:26 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:30:26 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:30:26 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 03:33:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 03:37:31 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:05:59 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:05:59 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:05:59 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:05:59 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 04:07:40 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:07:40 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:07:40 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:07:40 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 04:08:35 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:08:35 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:08:35 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:08:35 | WARNING | Alerts     | Camera tamper detected!
2026-08-22 04:09:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-22 04:13:52 | INFO    | Alerts     | No Telegram token — terminal alerts only.
